"","text"
"103","max verstappen  road  becoming   wdc legend   toro rosso "
"104"," verstappen    season  father  gmm max verstappens father   "
"105","luckbrasileiro  max verstappen corrida msm"
"106"," mv      brazil absolutely   reality    summer break  perez   "
"107","spectatorindex    max verstappen    driver   time"
"108","tyreq spooniesmatter mattywtf omg  max verstappen fans truly      illegal machinery"
"109","max verstappen amp red bull admit  success unlikely   repeated read   gtgt  "
"110","redbullracing maxverstappen vladimirrys karma    remember   love  max amp jos verstapp "
"111"," max verstappen heavily booed  winning abu dhabi grand prix   season finale "
"112","officer max verstappen "
"113","    matters   max verstappen "
"114"," sergio perez  unable  match max verstappen   battle   world championship  red bull boss "
"115","nascar  fined max verstappen  inappropriate language"
"116","   wallpapers   nights podium   abudhabigp max verstappen charles leclerc amp sergio prez   "
"117","  race  max verstappen scored   won  sebastian vettel   race  sebastian vettel "
"118","     max  stay  red bull till youre wrong bad season  hes   merc  ferrari  verstappen"
"119","insulated tumbler max  lid verstappen team racing stainless steel coffee cup oz vacuum tumblers travel mug  "
"120","painful    painful  abudhabigp "
"121","rddj rohitmistry brrrake poles ferrari poles charles leclerc poles carlos sainz poles max verst "
"122","motorsport      succeed   fail max verstappen"
"123","tomrichtrf      succeed ones  friend  fail max verstappen"
"124"," interview   "
"125","inpics formula abu dhabi gp maxverstappen wins   bids farewell  sebastianvettel maxverstappen "
"126","max verstappen  explained   didnt block charles leclerc  help sergio perez   abudhabigp   "
"127"," world champion  max verstappen  special season  super max winning  championship   record "
"128","  season comes   close  red bull racings max verstappen scoring  record wins "
"129","max verstappen  lando norris  rb   amazing  day"
"130","  season comes   close  red bull racings max verstappen scoring  record wins "
"131","max verstappen   season  th win  abu dhabi grandprix "
"132","torpedo     max verstappen"
"133","espnf  onwhere     season sir lewis hamilton unlike max verstappen    team geo "
"134","  race  max verstappen scored   won  sebastian vettel   race  sebastian vettel "
"135","dream   manifest   ultimate dream     world champion      thats  dream "
"136","max verstappen   season   ps      ps              "
"137","racefansdotnet maxverstappen redbullracing charlesleclerc schecoperez max verstappen  fair racing fucking    favor"
"138","verstappen closes season  th win  leclerc clinches   standings "
"139"," smell  fuel driving   limit   edge  sliding      lot  adrenaline max verstappen formulaone"
"140","waiting   max verstappen graphic   stats   season "
"141","top marks  max verstappen following  dominant drive   low score   departing mick schumacher  "
"142","max verstappen  red bull won  championship yesterdayproblem     talking abt  soccer world cup"
"143","maxverstappen redbullracing hondaracingglb  champ   name   name  max verstappen "
"144","genakhena ogag  morning         house congratulations  max verstappen  winning  "
"145","helaenys   max verstappen  bolsonaro  mongolian government  nelson piquet fetishising real pe "
"146","gafaletae  max verstappen comes  "
"147"," giving max verstappen "
"148"," max verstappen george russel charles leclerc red bull haas  team renault alpine gp usa nano "
"149","lewis hamilton hints max verstappen  envious   success  via youtube"
"150","red bull golden boys max verstappen amp sebastian vettel    create emotional wrecks  party pictures "
"151"," pics verstappen wins seasonclosing gp "
"152"," christian horner    sergio perez   chance  challenge max verstappen  th "
"153","redbullfanboy ybbetterthanu wanjeet  championship    won      dutch   "
"154","  drivers  driver   day  season max verstappen charles leclerc sebastian vettel lewis "
"155"," single time   max verstappen     fix   simultaneously spit  "
"156","   perez wasnt   outperform verstappen   hazard   stop   mightve beaten stop "
"157","max verstappen     recordbreaking season  via abcaustralia"
"158","max verstappen getting booed   post race interview   track "
"159"," pictures max verstappen wins  seasonclosing abu dhabi grandprix "
"160","verstappen    retire       stuff "
"161","elreyguiri max verstappen george russell mick schumacher red bull alfa romeo williams silverstone"
"162","preorder red bull racing cap  idr compensation shipping max idr dp accepted redbullracingid "
"163"," formula season         months   red bull  max verstappen  romp  "
"164","skysportsf max verstappen wins  abu dhabi grand prix  cap   championship cheating season  style "
"165","max verstappen admits terrible lewis hamilton feeling "
"166","max verstappen  kelly piquet  abu dhabi gp maxverstappen  abudhabigp "
"167","cue  celebrations   redbull "
"168","xenotechgd im sorry weno moving forward    refer    officer max emilian verstappen"
"169","leclerc frustrated  ferrari star sets sights  verstappen revenge "
"170","max verstappen wins  seasonclosing abu dhabi grand prix abudhabigp maxverstappen  click  "
"171","milton keynes  run  list   run acts  max verstappen  sergio perez  nas "
"172"," saturday december max verstappen sergio perez  christian horner    red bull racing rb   "
"173"," max verstappen win  rd world championship  mexico   "
"174"," max verstappen signs   recordextending win  abu dhabifinale "
"175","double world champion maxverstappen signed    dominant formula  campaign   recordextending  "
"176","oomrugby rapportsa   triggered nation wait till     josh van der flier   south african  max verstappen "
"177","abigailshrier elonmusk cant believe max verstappen     ignore twitter"
"178","iulvebt charles leclerc  max verstappen  formula "
"179"," night    main dj   red bull formula  winning party max verstappen huge congrats  thank "
"180","thortalkin  maxverstappen redbullracing   forget youre          onl "
"181","ericksilverman redbullracing    bodied  max verstappen "
"182","uksmithyy darius boredinclass fiagirly massive cap verstappen   miles ahead  days  car  mor "
"183","piersmorgan  dont agree    world cup  qatar     noticeable  bbcs hypocrisy  "
