"","text"
"104","puntpass jobathanqrty    nikita mazepin      time "
"105","nikita mazepin  nico hulkenberg  race  williams   upcoming season"
"106","nikita mazepin   leaving ferrari"
"107","nikita mazepin   worst teammate ive   romain grosjean"
"108"," realised  drummer   band    looks  nikita mazepin lmao"
"109","formulaamelia schumacher  mistakes     alfa romeo  ferrari contract   wasting  firs "
"110","nikita mazepin   finish  belgian gp    accident"
"111","formulayuki false nikita mazepin lance stroll exist"
"112","nikita mazepin  retiring    forming  own race team"
"113","nikita mazepin max verstappen  sebastian vettel     podium    gp"
"114","nikitamazepin   fans"
"115","nikita mazepin   world champion"
"116","nikita mazepin  reportedly failed postrace inspection  north wilkesboro"
"117","nikita mazepin   leaving aston martin"
"118"," redbullracing  scuderiaferrari hadnt colluded  fuck  haas  nikita mazepin     driver"
"119","akkukap mekenft sappysealsnft   maxypoo   am  nikita mazepin stan "
"120","mjcgrwr mmm real galactic nikita mazepin nicholas latifi team   spinners "
"121","nikita mazepin   fired  haas theyll  replaced  rodger ward   original driver  join honda"
"122","nikita mazepin   joining penske"
"123","nikita mazepin   worst teammate ive   sebastien buemi"
"124","wtfofficial  suggest  welcomed  nikita mazepin  driver   special taxi lift   race   "
"125","breaking nikita mazepin   replaced  liam lawson  alphatauri"
"126","eef skysportsf max       titles  nikita mazepin  perez   fia didnt hand  "
"127","retiredcd  nikita mazepin  russian occupier"
"128","formularacers    speak    loves redbull racing    sack max  checo driver  "
"129","netflix  spent  entire episode  nikita mazepin  season lmaoooooo"
"130","nikita mazepin  angry  jordan anderson      raced   track"
"131"," image   fucking funny    jehan middle schooler lando  fuckboy nikita mazepin  "
"132"," nikita mazepin wins  "
"133","nikita mazepin   signing  deal  race  haas  starting  "
"134","nikita mazepin  move  art grand prix"
"135","  realised   gnther     mick mess        expectations    "
"136","chestcloth  johnny bones fights  ill declare nikita mazepin  goat "
"137","nikita mazepin crashes     george russell  loses  front wing"
