"","text"
"94","sergio perez   red bull rbb honda rah qualifying  lusail  qatargp photo hondaracingf "
"95","sergio checo perez    world champion"
"96"," yearold verstappen dominated  start  finish    unable  assist  red bull teammate serg "
"97","max verstappen letting sergio perez  wouldnt   nicest   finish  looking   "
"98"," charlesleclerc wella sergio perez   decent team mate         maybe  sh "
"99","wait sergio perez   clinched nd overall  max     pass    race lmaooooooooooo"
"100","sergio perez signs  mclaren   "
"101","sergio perez settles  third  abu dhabi "
"102","max verstappen admits   retire  formula   contract  red bull comes    "
"103","redbull maxverstappen schecoperez redbullracing verstappen   real shit   human     teammate "
"104","max verstappen finishes  top  charles leclerc claiming  brilliant nd  sergio perez russell  "
"105","max verstappen      hold  charles leclerc  help   red bull team mate sergio perez  "
"106","dr sultan al jaber awarded    trophy  charles leclerc  abdulla khouri awarded  third   "
"107"," near     sergio perez      championship result   career "
"108","sergio perez fans  hating pierre gasly  fanbase   unbelievably toxic "
"109"," abu dhabi gp sergio perez sometimes  win  sometimes  lose    ferrari  charles  "
"110","posted withrepost    final standings   season  charles leclerc beats sergio perez     "
"111","max verstappen     slow   sergio perez         nicest    "
"112"," helmut marko believes   mistake cost sergio perez time   abudhabigp   mexican missed   "
"113"," abu dhabi gp postrace pres conference  drivers max verstappen red bull racing "
"114","sergio perez  red bull  max verstappen     hindrance   crucial stage   "
"115","charles leclerc  able  hold       abu dhabi grand prix ahead  sergio perez    "
"116","sergio perez  stuck  teammate max verstappen   abu dhabi   stint   wake  knockon ef "
"117","formula carrera podio max verstappen red bull charles leclerc ferrari sergio perez red bull "
"118","abu dhabi grand prix max verstappen beats sergio perez  pole position  "
"119","abu dhabi grand prix fia  shy  investigating sergio perez monaco crash  "
"120"," hasnt   praise  ferraris strategy team   pitwall    italian team    "
"121","sergio perez   am pleased             didnt    hurts  "
"122"," sergio perez   max verstappen inadvertently cost  time   abudhabigp   red bull drivers ra "
"123"," season finale  max verstappen breeze  victory  charles leclerc locking    championship ahe "
"124","     championship  sergio perez "
"125","    fake  fans  sergio perez coming home third ultimately       gain "
"126","maxverstappen redbullracing hondaracingglb   grateful  sergio perez "
"127","   faced   prospect     dying fly      stint   try  attack  cho "
"128","sebastian vettels formula career     brilliant drive  finish    finale  abu dhabi "
"129"," sergio perez coming home third ultimately       gained   red bulls swapped posit "
"130","sergio perez   died towards      stint   abudhabigp    strategy tricky "
"131","formula season driver standings  max verstappen  charles leclerc  sergio perez constructor standings "
"132","thank  max verstappen  thank  sergio perez  thank  red bull racing  thank  rb    "
"133","termina la temporada en de la  yas marina el escenario para la final el campen del mundial max verstappen  "
"134","maxverstappen redbullracing hondaracingglb im looking forward  seeing sergio perezs villain era   checoperez "
"135","max verstappen claims recordextending th victory  season finale  abu dhabi grand prix charles leclerc pippe "
"136","perez   close  finishing    constructors championship   fell     heres   "
"137","max verstappen signed    dominant     won   world championship   recordexte "
"138","sergio perez   missed    runnersup spot   drivers championship   red bull driver  "
"139","sergio perez told   leave red bull  max verstappen feud isnt dropped  wow  wow"
"140","ferraris charles leclerc  hed   cent   abudhabigp  sunday   successfully scooped  "
"141","  matters      sergio perez reflects   final race   season   narrowl "
"142","diegoalonsof schecoperez  sergio perez coming home third ultimately       gained  "
"143","max verstappen dominates  pole   recordextending th win   charles leclerc holds  sergio "
"144","red bulls max verstappen wins  abu dhabi  charles claims   championship ahead  sergio perez "
"145","diegoalonsof maxverstappen  sergio perez coming home third ultimately       gained "
"146","live  news max verstappen booed  abu dhabi win closes season costs red bull onetwo finish  drivers "
"147","          sergio michel prez  "
"148"," charles leclerc  revealed  trickery ferrari deployed   abudhabigp  fooled sergio perez    "
"149","abu dhabi gp sebastian vettel scores    final race charles leclerc beats  sergio perez amp ferrari tr "
"150","sergio perez looked  wellplaced  complete   red bull  drivers championship   abudhabigp "
"151","  biggest  driver   world according   book max verstappen sergio perez george russell ca "
"152"," stopped sergio perez    nd position   championship  vote below   formula abudhabigp "
"153"," world annoyed  max verstappen   loss  red bull teammate sergio perez  abudhabigrandprix "
"154"," real  championship based  driver   day results driveroftheday  wtfofficial st max verstappen "
"155"," charlesleclerc sergio prez thank  max    world   generous prick     "
"156"," verstappen  angry  people  yelling   family        ok "
"157","max verstappen    th win     charles leclerc beat sergio perez     drivers "
"158","scuderiaferrari  biggest  driver   world according   book max verstappen sergio perez george "
"159","abu dhabi sergio perez outpaced red bull teammate  world champion max verstappen  setting  fastest time  "
"160","dominant verstappen clinches th win  abu dhabi  charles leclerc wins nailbiting fight  sergio perez  "
"161","eyo sergio perez dont  help    "
"162","thereisnoif sergio prez red bull       capable  managing  supporting max  "
"163","watanonsense george russell  sergio perez lol"
"164","hamiltons eventful  lap  abu dhabi "
"165","  biggest  driver   world according   book max verstappen sergio perez george russell ca "
"166","scuderiaferrari charlesleclerc carlossainz  biggest  driver   world according   book max ve "
"167"," season drivers championship standings   max verstappen charles leclerc sergio perez "
"168","redbullracing maxverstappen thanks  red bull   bad strategy  sergio prez     runs  "
"169"," maxverstappen  biggest  driver   world according   book max verstappen lewis hamilton  "
"170","max verstappen won  abu dhabi grand prix extending  record  race wins   season ferraris cha "
"171"," final top  drivers  max verstappen sergio perez charles leclerc george russell  "
"172","max verstappen enjoys lights  flag victory  charles leclerc  ferrari deny red bull  sergio perez  run "
"173","formula   instagram  final top   charles leclerc beats sergio perez   whilst sebastian vet "
"174","  abu dhabi gp max verstappen  charles leclrec  sergio perez   race  sebastian vettel danke legend"
"175","top results  abudhabigp  max verstappen  charles lerlerc  sergio prez constructions standing "
"176","red bulls max verstappen wins  final race   season  abu dhabi  ferraris charles leclerc beats sergio "
"177","sergio perez postrace interview    degradation  predicted   medium  wasnt able  push  "
"178","max verstappen won abudhabigp  red bull ahead  charles leclerc  sergio perez"
"179","abu dhabi grand prix max verstappen beats sergio perez  pole position grandprix sergioperez abudhabi "
"180"," abudhabigp donut max verstappen amp charles leclerc amp sergio perez gt  formula "
